# Files Changed in Phase T1

| File Path | Bytes | SHA-256 |
|---|---|---|
| `ORIGINAL_REQUEST.md` | 19675 | `sha256:47abdcbc52149a416dc6705ca5f5dbdc3c6dd3b2950239592d110a8a8c452b1a` |
| `resultados/GPT/PLANO_REVISAO_INDEPENDENTE_T0.md` | 17712 | `sha256:243ceeac0455333507f796e8062095cd1c6f6a46d06fe0055d713f5623e38fe6` |
| `resultados/GPT/README.md` | 491 | `sha256:a70b7c609beb1844f2145188bfd0642bef0060e4135e9ac001fa047fe9d4afcf` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/COMANDOS.jsonl` | 10045 | `sha256:e22aa83e4f892077abb6e704b6efbdb1c936f48b588a78add9d2345713da0b40` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/HIPOTESES.csv` | 1161 | `sha256:6f9810d65aef5f28efcb854bbcf7737d9e72fb30fcbaa3ba65adccf35ec1060c` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/INVENTARIO.txt` | 15265 | `sha256:63477bb82a5da9c23a855f23edc08298089f23ba08f7757d8cf675c20db285e7` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/LIMITACOES.md` | 762 | `sha256:f9839f9b27f602b60ea7e6b166762ec4f1fcb77f788418567ea58d712304df83` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/MANIFESTO_SHA256.txt` | 2556 | `sha256:e9b4a1f6b183bcbccd9d0b10f16e388ec957112b10e6ea1d4f2295f6a53032dc` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/PACOTE.md` | 1529 | `sha256:3c53df9ff56ae152f5b50613b37ccf59fe123eb1651a6dfb503a13aae7b575fd` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/RELATORIO.md` | 5274 | `sha256:1a73b2d358b164f52aa6380a9fba31de6d1cc57628d4903d086c6f189d1016e6` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/VEREDITO.json` | 1361 | `sha256:d4b3827498ef1c0ae1227b8a4daeefffc701b58003f0423c69599274f134a215` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/00-baseline-git.txt` | 728 | `sha256:37381ff3725caf57f95e58e0ceeb33a213abad2f832aa7efaa7149c4902ff392` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/01-ambiente.txt` | 3447 | `sha256:def21cc53925c4d324d53dbe2448b2f3969a5d7d3cb601b6b86b3faf4c4a22ad` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/02-arquivos-relevantes.txt` | 18592 | `sha256:6594a6a55a13134150389e174ea8f220126411ff535ed830a6c00fc40a43df47` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/03-pytest-completo.txt` | 51952 | `sha256:c0cb65cb7e0ba3034fa210490a3ca26e0ad92ae9cc981baa9eadd267521b2708` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/04-pytest-contracts.txt` | 1047 | `sha256:b8c5d833307d8e932127119e97e12b48f20cdb83ec1869e8623a88817eef1867` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/05-pytest-mutation.txt` | 1832 | `sha256:544a0fe5107a207ce8562101afebe7ab96d73ab80f1ca04762f0b8d4fa2c57da` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/06-subprocess-scan.txt` | 2483 | `sha256:4fbbd6d768e49c53c6c1e272eb24956f0c8164fb4f9f6c309195e112a7941592` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/07-stage-modules.txt` | 160 | `sha256:75c5c955944a42224ddf26ca628b6bd63defe8d8b056ffb3405c77f20defcc0e` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/08-portabilidade.txt` | 1987 | `sha256:89d17edd2baa55385ba97e0ba79b2e3284d6825f351b6e7cac48f88e48c66e57` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/09-verificador-readonly.txt` | 125 | `sha256:b1dc773cd900a65dd19adfc50b598b823812a346a87ed36fe969797c7b7f36b3` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/10-corte-duplo.txt` | 835 | `sha256:7c77a51861e01f56d994b046297160110096baee85988b3326f4a290c132c26c` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/11-dashboard-superficie.txt` | 243 | `sha256:1218ee4ae461bc7ab8802f26320b12a7b0e38241edecf098c2c592ec7f8152fa` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/12-ci-e-branches.txt` | 498 | `sha256:e7da69787cfe24172f8680a3019042fec58c3285d6ffbf379b8b89f7dead7ee5` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/13-git-diff-final.txt` | 254 | `sha256:620ec34d55ff88a092282847b0c71fbf36e6c0d14a0fcc3b9b4030bb593b36c9` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/evidencias/pytest.xml` | 62902 | `sha256:a115de8952cccb81f9765534da02cbf105987a83c769eae476c6ecbe77a9ff18` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/scratch/h03.py` | 1130 | `sha256:eddf38c46d80fcc835d90c5bb37e6ab3688aa1cc10cf59750828738f70e818e8` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/scratch/h04.py` | 1165 | `sha256:139769a03b6b2d9ee7ed6d2141b96e6619cf59b2f9446a9a7777caea13241029` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/scratch/h05.py` | 212 | `sha256:3d56599590cee4989bfffc45841b21fb470539d329c1722ac9fa5cd5087aa44d` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/scratch/h06.py` | 383 | `sha256:4b9db8a2b03d3401854a71251d8cc2eac2dc668d3363694e1cebee2ef56ddc96` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260726T234421Z/scratch/runner.py` | 1703 | `sha256:8dbb1193e9681ee6c39ccb4d5e391478225518511fc0a749355337c1d031851c` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/COMANDOS.jsonl` | 22023 | `sha256:e190b714a4e7f095af84180fb5ab72d17bcdca1a24b53d94535600c981c9a1d6` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/CORRECOES_FISCALIZACAO.md` | 7389 | `sha256:f1872e169bac9aa668d27405045f2e31b71d1f56357ad0dab8920ecb29dba8a8` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/HIPOTESES.csv` | 2870 | `sha256:e06d9025ae26178324df39f80540e67712dfd668f7ad921b044b0497f77d4d10` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/INVENTARIO.txt` | 9950 | `sha256:88a057ac05125fa60d3c950e0ed6644ac68aa4aab4c6cd32c029cfb7714c8d5f` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/LIMITACOES.md` | 3017 | `sha256:a728944b148e776a961eec9ce0f64cce7bb831c8c39a2924c5aa06ebae095d46` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/MANIFESTO_FINAL_SHA256.txt` | 6841 | `sha256:1bf51c6c6185c92f1143de6cff09e29df0453b54322db808d308d0fc42d02723` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/MANIFESTO_SHA256.txt` | 6529 | `sha256:0208c2529e6472467309c52881e1634597a5476e803d98aeca6ab752732e72db` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/PACOTE.md` | 6772 | `sha256:4974f4ab8f573f797c6e26767256319ff453ce39825de60eb4a4ad70819253be` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/RELATORIO.md` | 24216 | `sha256:784c10795a5a624a824ace7cfa2e9aa18b426df91432431071362ef8be7100dd` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/VEREDITO.json` | 6906 | `sha256:e7155e1e813f23ef286f5f60a38139eddd3ad5fbace4f04b2dbcf2da3c5f8b28` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/00-baseline-git.stderr.txt` | 360 | `sha256:4fcf353772331ea018398ec4129a12d977c428d934caad1d81aa8f841299ede7` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/00-baseline-git.txt` | 1069 | `sha256:dfd620cb1c7eeccc74c230049d189efd63952f1185ee0e5929540ce7d819173a` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/01-ambiente.stderr.txt` | 377 | `sha256:b2570cfe8521e41cec57e70b363b7e53f2b5e971305cba8c79028083151c014a` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/01-ambiente.txt` | 1909 | `sha256:646858ac390fc4292a1eaac2714f248e3adfb946265111bc518f566aa90bb725` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/02-arquivos-relevantes.stderr.txt` | 553 | `sha256:7c0c9e2d856ae1e8e2313a346e77c81c954df82cbc3d2ea317be64892251330c` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/02-arquivos-relevantes.txt` | 8639 | `sha256:d087e86e35e1a6dc46305ff71719bd2ad11fda09e4d16465f5f43e7b3267f78f` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/03-pytest-completo.stderr.txt` | 433 | `sha256:df9d699575333636a32e27e4cc3d9e8f747967778283dc3d46251873b4556ff8` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/03-pytest-completo.txt` | 52142 | `sha256:80e0c8c16fe9ed339c5d01c0c3873a7add048e4fcce7b11791946adec14aa09f` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/04-pytest-contracts.stderr.txt` | 0 | `sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855` |
| `resultados/GPT/T0-auditoria-independente/audit_t0_20260727T015741Z/evidencias/04-pytest-contracts.txt` | 1054 | `sha256:0038ed72be4b43dfb53de3d619247ca68c20ee78dede4e06e07067a185b03a82` |
